frame,timestamp,wall_clock_ms,zone,px,py,angle,fov,render_w,render_h,dt_floor_ceil,dt_walls,dt_cast,dt_blit_walls,dt_visplane,dt_entities,dt_tint,dt_upscale,dt_hud,dt_sim,dt_physics,dt_frame_total,fps,strip_cache_size,strip_cache_prev_size,col_cache_size,ent_pool_size,bb_base_cache_size,glyph_cache_size,n_entities_visible,n_entity_billboards,n_deferred_halves,n_slices,c_extension_active
69,1771515497.6126852,738.8914000039222,pawn_shop,6.573,6.762,4.6004,1.0472,480,320,0.831,1.254,0.301,0.953,0.679,1.249,0.001,0.328,1.139,,,5.706,92.6,2110,0,0,0,0,142,14,11,93,213,True
70,1771515497.6236882,749.0066000027582,pawn_shop,6.565,6.701,4.6164,1.0472,480,320,0.766,1.201,0.277,0.924,0.692,1.244,0.001,0.348,1.127,,,5.602,97.1,2135,0,0,0,0,142,14,11,89,209,True
71,1771515497.6326892,758.8278999901377,pawn_shop,6.558,6.641,4.6284,1.0472,480,320,0.732,1.113,0.259,0.853,0.663,1.434,0.001,0.292,1.113,,,5.55,97.1,2152,0,0,0,0,142,14,11,86,206,True
72,1771515497.6436915,769.8145000031218,pawn_shop,6.551,6.579,4.6404,1.0472,480,320,0.693,1.065,0.25,0.815,0.646,1.094,0.001,0.237,1.067,,,4.993,97.1,2166,0,0,0,0,142,14,10,84,204,True
73,1771515497.6536934,779.7859999991488,pawn_shop,6.545,6.518,4.6484,1.0472,480,320,0.673,1.045,0.239,0.806,0.646,1.083,0.001,0.267,1.076,,,4.982,97.1,2182,0,0,0,0,142,14,10,80,200,True
74,1771515497.6646957,790.8548999985214,pawn_shop,6.539,6.456,4.6524,1.0472,480,320,0.683,1.025,0.238,0.786,0.627,1.179,0.001,0.209,1.042,,,4.954,97.1,2196,0,0,0,0,143,14,10,77,197,True
75,1771515497.6746979,800.7491000025766,pawn_shop,6.533,6.394,4.6564,1.0472,480,320,0.663,1.033,0.231,0.802,0.631,1.065,0.001,0.278,1.049,,,4.91,97.1,2212,0,0,0,0,143,14,10,75,195,True
76,1771515497.6857011,811.7347999941558,pawn_shop,6.528,6.332,4.6564,1.0472,480,320,0.702,1.059,0.24,0.819,0.634,1.052,0.001,0.273,1.078,,,4.988,97.1,2230,0,0,0,0,143,14,10,71,191,True
77,1771515497.6957028,821.8101999955252,pawn_shop,6.524,6.27,4.6644,1.0472,480,320,0.741,1.179,0.249,0.93,0.647,1.066,0.001,0.241,1.055,,,5.123,97.1,2261,0,0,0,0,143,14,10,70,190,True
78,1771515497.7057054,831.7976999969687,pawn_shop,6.519,6.208,4.6764,1.0472,480,320,0.682,1.214,0.228,0.985,0.632,1.031,0.001,0.22,1.049,,,5.017,97.1,2300,0,0,0,0,143,14,10,69,189,True
79,1771515497.7167075,842.9366999916965,pawn_shop,6.516,6.145,4.7004,1.0472,480,320,0.717,1.05,0.237,0.813,0.619,1.076,0.001,0.252,1.056,,,4.98,97.1,2317,0,0,0,0,143,14,10,68,188,True
80,1771515497.7277102,853.015000000596,pawn_shop,6.513,6.084,4.7244,1.0472,480,320,0.778,1.106,0.259,0.847,0.64,1.077,0.001,0.299,1.072,,,5.187,96.2,2335,0,0,0,0,143,14,10,66,186,True
81,1771515497.7377124,863.9047999895411,pawn_shop,6.511,6.021,4.7444,1.0472,480,320,0.795,1.043,0.253,0.79,0.619,1.06,0.001,0.288,1.065,,,5.067,96.2,2344,0,0,0,0,143,14,10,64,184,True
82,1771515497.747715,873.9250999933574,pawn_shop,6.51,5.959,4.7644,1.0472,480,320,0.716,1.169,0.231,0.938,0.609,1.036,0.001,0.178,1.033,,,4.942,96.2,2379,0,0,0,0,143,14,10,62,182,True
83,1771515497.757717,883.8331000006292,pawn_shop,6.51,5.897,4.7804,1.0472,480,320,0.723,1.149,0.232,0.918,0.603,1.048,0.001,0.227,1.057,,,5.01,96.2,2411,0,0,0,0,143,14,10,61,181,True
84,1771515497.7677195,893.7989999976708,pawn_shop,6.511,5.835,4.7964,1.0472,480,320,0.669,1.023,0.211,0.811,0.593,0.994,0.001,0.262,1.059,,,4.8,96.2,2432,0,0,0,0,143,14,9,59,179,True
85,1771515497.7787216,904.8349999939092,pawn_shop,6.513,5.773,4.8124,1.0472,480,320,0.692,1.065,0.217,0.848,0.6,1.002,0.001,0.216,1.081,,,4.858,96.2,2455,0,0,0,0,143,14,9,57,177,True
86,1771515497.7887237,914.7965000011027,pawn_shop,6.516,5.712,4.8284,1.0472,480,320,0.675,1.039,0.205,0.834,0.561,0.976,0.001,0.294,1.049,,,4.803,96.2,2479,0,0,0,0,143,14,9,55,175,True
87,1771515497.7997262,925.8380999963265,pawn_shop,6.52,5.649,4.8444,1.0472,480,320,0.688,1.196,0.205,0.992,0.579,1.014,0.001,0.292,1.047,,,5.025,96.2,2524,0,0,0,0,143,14,9,52,172,True
88,1771515497.8097289,935.8933999901637,pawn_shop,6.525,5.587,4.8564,1.0472,480,320,0.685,1.198,0.203,0.995,0.59,0.983,0.001,0.266,1.058,,,4.982,96.2,2569,0,0,0,0,143,14,9,50,170,True
89,1771515497.8197312,945.8570999995572,pawn_shop,6.531,5.526,4.8644,1.0472,480,320,0.64,1.143,0.232,0.911,0.569,0.99,0.001,0.324,1.069,,,4.948,96.2,2598,0,0,0,0,143,14,9,48,168,True
90,1771515497.8297331,955.7978999946499,pawn_shop,6.537,5.465,4.8684,1.0472,480,320,0.748,1.067,0.211,0.856,0.56,0.955,0.001,0.228,1.055,,,4.818,97.1,2625,0,0,0,0,143,14,9,44,164,True
91,1771515497.8407354,966.7978999932529,pawn_shop,6.544,5.403,4.8724,1.0472,480,320,0.672,1.063,0.196,0.867,0.537,0.953,0.001,0.297,1.056,,,4.779,97.1,2655,0,0,0,0,143,14,9,42,162,True
92,1771515497.851739,977.7755999966757,pawn_shop,6.552,5.341,4.8724,1.0472,480,320,0.685,1.104,0.206,0.898,0.522,0.963,0.001,0.278,1.049,,,4.791,97.1,2688,0,0,0,0,143,14,9,41,161,True
93,1771515497.8627405,988.8208999909693,pawn_shop,6.56,5.278,4.8764,1.0472,480,320,0.706,1.078,0.206,0.872,0.505,0.957,0.001,0.231,1.092,,,4.759,97.1,2717,0,0,0,0,143,14,9,40,160,True
94,1771515497.8737438,999.9151999945752,pawn_shop,6.577,5.219,4.8764,1.0472,480,320,0.575,1.162,0.214,0.948,0.511,0.939,0.001,0.234,1.077,,,4.695,97.1,2747,0,0,0,0,143,14,9,40,160,True
95,1771515497.8847454,1010.7780999969691,pawn_shop,6.601,5.165,4.8764,1.0472,480,320,0.714,1.254,0.214,1.04,0.515,0.987,0.001,0.242,1.073,,,4.986,97.1,2797,0,0,0,0,143,14,9,40,160,True
96,1771515497.8957481,1021.7778999940492,pawn_shop,6.63,5.113,4.8764,1.0472,480,320,0.549,1.232,0.201,1.031,0.539,1.002,0.001,0.211,1.09,,,4.823,97.1,2848,0,0,0,0,143,14,9,42,162,True
97,1771515497.9067504,1032.828299998073,pawn_shop,6.664,5.064,4.8684,1.0472,480,320,0.529,1.103,0.195,0.908,0.542,0.972,0.001,0.246,1.054,,,4.653,97.1,2884,0,0,0,0,143,14,9,42,162,True
98,1771515497.9177527,1043.9696999965236,pawn_shop,6.664,5.017,4.8484,1.0472,480,320,0.545,1.031,0.191,0.84,0.521,0.993,0.001,0.197,1.072,,,4.557,97.1,2913,0,0,0,0,143,14,9,39,159,True
99,1771515497.9287562,1054.867999991984,pawn_shop,6.664,4.97,4.8244,1.0472,480,320,0.541,0.997,0.194,0.802,0.479,0.964,0.001,0.285,1.076,,,4.54,97.1,2936,0,0,0,0,143,14,9,34,154,True
100,1771515497.939758,1065.9218999935547,pawn_shop,6.664,4.925,4.7804,1.0472,480,320,0.568,0.917,0.183,0.734,0.431,0.954,0.001,0.214,1.068,,,4.336,90.9,2954,0,0,0,0,143,14,9,27,147,True
101,1771515497.9507604,1076.9119000033243,pawn_shop,6.664,4.879,4.7324,1.0472,480,320,0.511,0.877,0.167,0.71,0.376,0.908,0.0,0.271,1.078,,,4.202,90.9,2971,0,0,0,0,143,14,9,20,140,True
102,1771515497.9607627,1086.9198000000324,pawn_shop,6.664,4.834,4.6764,1.0472,480,320,0.516,0.814,0.163,0.651,0.349,0.885,0.001,0.284,1.074,,,4.114,90.9,2981,0,0,0,0,143,14,9,12,132,True
103,1771515497.971766,1097.1476999984588,pawn_shop,6.664,4.788,4.6124,1.0472,480,320,0.581,0.876,0.174,0.702,0.284,0.868,0.001,0.28,1.097,,,4.173,90.9,2999,0,0,0,0,143,14,9,2,122,True
104,1771515497.9817674,1107.9518999904394,pawn_shop,6.664,4.741,4.5164,1.0472,480,320,0.563,0.912,0.171,0.741,0.005,0.874,0.001,0.277,1.086,,,3.893,90.9,3022,0,0,0,0,143,14,9,0,120,True
105,1771515497.9917703,1117.939000003389,pawn_shop,6.664,4.693,4.4324,1.0472,480,320,0.561,0.801,0.161,0.64,0.279,0.897,0.001,0.271,1.096,,,4.085,90.9,3030,0,0,0,0,143,14,9,5,125,True
